"iconURI","iconName","iconDefinition","svg"
"https://data.crow.nl/imv/def/C22a5-vrachtemissie-6","C22a5-vrachtemissie-6","Een onderbord dat aangeeft dat de milieuzone toegankelijk is voor vrachtauto's van emissieklasse 6.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/C22a5.svg"
"https://data.crow.nl/imv/def/C22a5-vrachtemissie-6","C22a5-vrachtemissie-6","Een onderbord dat aangeeft dat de milieuzone toegankelijk is voor vrachtauto's van emissieklasse 6.","https://data.crow.nl/imv/term/C22a5-vrachtemissie-6"
"https://data.crow.nl/imv/def/C22-gevaarlijke-stoffen","C22-gevaarlijke -stoffen","Een verkeersbord dat aangeeft dat de weg gesloten is voor voertuigen met bepaalde gevaarlijke stoffen.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/C22.svg"
"https://data.crow.nl/imv/def/C22-gevaarlijke-stoffen","C22-gevaarlijke -stoffen","Een verkeersbord dat aangeeft dat de weg gesloten is voor voertuigen met bepaalde gevaarlijke stoffen.","https://data.crow.nl/imv/term/C22-gevaarlijke-stoffen"
"https://data.crow.nl/imv/def/J23-voetgangers","J23-voetgangers","Verkeersbord dat een waarschuwing aanduidt voor voetgangers","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/J23.svg"
"https://data.crow.nl/imv/def/J23-voetgangers","J23-voetgangers","Verkeersbord dat een waarschuwing aanduidt voor voetgangers","https://data.crow.nl/imv/term/J23-voetgangers"
"https://data.crow.nl/imv/def/D7-keuze-rijrichting","D7-keuze-rijrichting","Een verkeersbord dat een gebod aangeeft tot het volgen van één van de rijrichtingen die op het bord zijn aangegeven.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/D7.svg"
"https://data.crow.nl/imv/def/D7-keuze-rijrichting","D7-keuze-rijrichting","Een verkeersbord dat een gebod aangeeft tot het volgen van één van de rijrichtingen die op het bord zijn aangegeven.","https://data.crow.nl/imv/term/D7-keuze-rijrichting"
"https://data.crow.nl/imv/def/C18-voertuigbreedte","C18-voertuigbreedte","Een verkeersbord dat aangeeft dat de weg gesloten is voor voertuigen die, met inbegrip van de lading, breder zijn dan op het bord is aangegeven.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/C18.svg"
"https://data.crow.nl/imv/def/C18-voertuigbreedte","C18-voertuigbreedte","Een verkeersbord dat aangeeft dat de weg gesloten is voor voertuigen die, met inbegrip van de lading, breder zijn dan op het bord is aangegeven.","https://data.crow.nl/imv/term/C18-voertuigbreedte"
"https://data.crow.nl/imv/def/C11-motor","C11-motor","Een verkeersbord dat aangeeft dat de weg gesloten is voor motoren","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/C11.svg"
"https://data.crow.nl/imv/def/C11-motor","C11-motor","Een verkeersbord dat aangeeft dat de weg gesloten is voor motoren","https://data.crow.nl/imv/term/C11-motor"
"https://data.crow.nl/imv/def/F19-vracht-bus-baan","F19-vracht-bus-baan","Een verkeersbord dat aangeeft dat een rijbaan uitsluitend bedoeld is voor vrachtauto's en lijnbussen.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/F19.svg"
"https://data.crow.nl/imv/def/F19-vracht-bus-baan","F19-vracht-bus-baan","Een verkeersbord dat aangeeft dat een rijbaan uitsluitend bedoeld is voor vrachtauto's en lijnbussen.","https://data.crow.nl/imv/term/F19-vracht-bus-baan"
"https://data.crow.nl/imv/def/E9-vergunninghouders","E9-vergunninghouders","Een verkeersbord dat aangeeft dat de parkeergelegenheid alleen bestemd is voor vergunninghouders.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/E9.svg"
"https://data.crow.nl/imv/def/E9-vergunninghouders","E9-vergunninghouders","Een verkeersbord dat aangeeft dat de parkeergelegenheid alleen bestemd is voor vergunninghouders.","https://data.crow.nl/imv/term/E9-vergunninghouders"
"https://data.crow.nl/imv/def/J7-gevaarlijke-daling","J7-gevaarlijke-daling","Verkeersbord dat een waarschuwing aanduidt voor gevaarlijke daling","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/J7.svg"
"https://data.crow.nl/imv/def/J7-gevaarlijke-daling","J7-gevaarlijke-daling","Verkeersbord dat een waarschuwing aanduidt voor gevaarlijke daling","https://data.crow.nl/imv/term/J7-gevaarlijke-daling"
"https://data.crow.nl/imv/def/F16-einde-trambaan","F16-einde-trambaan","Een verkeersbord dat het einde van de trambaan aangeeft.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/F16.svg"
"https://data.crow.nl/imv/def/F16-einde-trambaan","F16-einde-trambaan","Een verkeersbord dat het einde van de trambaan aangeeft.","https://data.crow.nl/imv/term/F16-einde-trambaan"
"https://data.crow.nl/imv/def/C6-gesloten-auto","C6-gesloten-auto","Een verkeersbord dat aangeeft dat de weg gesloten is voor motorvoertuigen op meer dan twee wielen","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/C6.svg"
"https://data.crow.nl/imv/def/C6-gesloten-auto","C6-gesloten-auto","Een verkeersbord dat aangeeft dat de weg gesloten is voor motorvoertuigen op meer dan twee wielen","https://data.crow.nl/imv/term/C6-gesloten-auto"
"https://data.crow.nl/imv/def/J24-fietsbrom","J24-fietsbrom","Verkeersbord dat een waarschuwing aanduidt voor fietsers en bromfietsers","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/J24.svg"
"https://data.crow.nl/imv/def/J24-fietsbrom","J24-fietsbrom","Verkeersbord dat een waarschuwing aanduidt voor fietsers en bromfietsers","https://data.crow.nl/imv/term/J24-fietsbrom"
"https://data.crow.nl/imv/def/E08-vracht","E08-vracht","Een verkeersbord dat parkeergelegenheid aangeeft, uitsluitend voor vrachtauto's.","https://data.crow.nl/imv/term/E08-vracht"
"https://data.crow.nl/imv/def/F17-bus-tram-baan","F17-bus-tram-baan","Een verkeersbord dat aangeeft dat een rijbaan uitsluitend bedoeld is voor lijnbussen en trams.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/F17.svg"
"https://data.crow.nl/imv/def/F17-bus-tram-baan","F17-bus-tram-baan","Een verkeersbord dat aangeeft dat een rijbaan uitsluitend bedoeld is voor lijnbussen en trams.","https://data.crow.nl/imv/term/F17-bus-tram-baan"
"https://data.crow.nl/imv/def/C21-gewichtsbeperking","C21-gewichtsbeperking","Een verkeersbord dat aangeeft dat de weg gesloten is voor voertuigen en samenstellen van voertuigen waarvan de totaalmassa of de som van de aslasten hoger is dan op het bord is aangegeven.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/C21.svg"
"https://data.crow.nl/imv/def/C21-gewichtsbeperking","C21-gewichtsbeperking","Een verkeersbord dat aangeeft dat de weg gesloten is voor voertuigen en samenstellen van voertuigen waarvan de totaalmassa of de som van de aslasten hoger is dan op het bord is aangegeven.","https://data.crow.nl/imv/term/C21-gewichtsbeperking"
"https://data.crow.nl/imv/def/C7b-bus-vracht","C7b-bus-vracht","Een verkeersbord dat aangeeft dat de weg gesloten is voor autobussen en vrachtauto's","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/C7b.svg"
"https://data.crow.nl/imv/def/C7b-bus-vracht","C7b-bus-vracht","Een verkeersbord dat aangeeft dat de weg gesloten is voor autobussen en vrachtauto's","https://data.crow.nl/imv/term/C7b-bus-vracht"
"https://data.crow.nl/imv/def/C22a8-milieu-vracht-bus-4-6","C22a8-milieu-vracht-bus-4-6","Een onderbord dat aangeeft dat de milieuzone toegankelijk is voor vrachtauto's en bussen van emissieklasse 4 tot en met 6.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/C22a8.svg"
"https://data.crow.nl/imv/def/C22a8-milieu-vracht-bus-4-6","C22a8-milieu-vracht-bus-4-6","Een onderbord dat aangeeft dat de milieuzone toegankelijk is voor vrachtauto's en bussen van emissieklasse 4 tot en met 6.","https://data.crow.nl/imv/term/C22a8-milieu-vracht-bus-4-6"
"https://data.crow.nl/imv/def/J35-slecht-zicht","J35-slecht-zicht","Verkeersbord dat een waarschuwing aanduidt voor slecht zicht door sneeuw, regen of mist","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/J35.svg"
"https://data.crow.nl/imv/def/J35-slecht-zicht","J35-slecht-zicht","Verkeersbord dat een waarschuwing aanduidt voor slecht zicht door sneeuw, regen of mist","https://data.crow.nl/imv/term/J35-slecht-zicht"
"https://data.crow.nl/imv/def/C19-voertuighoogte","C19-voertuighoogte","Een verkeersbord dat aangeeft dat de weg gesloten is voor voertuigen die, met inbegrip van de lading, hoger zijn dan op het bord is aangegeven.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/C19.svg"
"https://data.crow.nl/imv/def/C19-voertuighoogte","C19-voertuighoogte","Een verkeersbord dat aangeeft dat de weg gesloten is voor voertuigen die, met inbegrip van de lading, hoger zijn dan op het bord is aangegeven.","https://data.crow.nl/imv/term/C19-voertuighoogte"
"https://data.crow.nl/imv/def/J10-overweg-slagbomen","J10-overweg-slagbomen","Verkeersbord dat een waarschuwing aanduidt voor overweg met slagbomen","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/J10.svg"
"https://data.crow.nl/imv/def/J10-overweg-slagbomen","J10-overweg-slagbomen","Verkeersbord dat een waarschuwing aanduidt voor overweg met slagbomen","https://data.crow.nl/imv/term/J10-overweg-slagbomen"
"https://data.crow.nl/imv/def/C22d-einde-nulemissie","C22d-einde-nulemissie","Een verkeersbord dat het einde aangeeft van de nulemissiezone.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/C22d.svg"
"https://data.crow.nl/imv/def/C22d-einde-nulemissie","C22d-einde-nulemissie","Een verkeersbord dat het einde aangeeft van de nulemissiezone.","https://data.crow.nl/imv/term/C22d-einde-nulemissie"
"https://data.crow.nl/imv/def/E2-stilstaan-verboden","E2-stilstaan-verboden","Een verkeersbord dat aangeeft dat stilstaan verboden is.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/E2.svg"
"https://data.crow.nl/imv/def/E2-stilstaan-verboden","E2-stilstaan-verboden","Een verkeersbord dat aangeeft dat stilstaan verboden is.","https://data.crow.nl/imv/term/E2-stilstaan-verboden"
"https://data.crow.nl/imv/def/D5-verplichte-rijrichting","D5-verplichte-rijrichting","Een verkeersbord dat een gebod aangeeft tot het volgen van de rijrichting die op het bord is aangegeven.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/D5.svg"
"https://data.crow.nl/imv/def/D5-verplichte-rijrichting","D5-verplichte-rijrichting","Een verkeersbord dat een gebod aangeeft tot het volgen van de rijrichting die op het bord is aangegeven.","https://data.crow.nl/imv/term/D5-verplichte-rijrichting"
