"URI","name","definition","svgImage"
"https://data.crow.nl/imv-standaard-platen/def/J23","J23","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J23, voetgangers.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J23-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/C23-01","C23-01","Een vierkant verkeersbord met een blauw achtergrondschild met daarop  bord C23-01 Spitsstrook open.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_C23_01-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/F02","F02","Een rond verkeersbord met een wit achtergrondschild en daarop bord F2, einde verbod voor motorvoertuigen om elkaar onderling in te halen.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_F02-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J39","J39","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J39, waarschuwing voor elektrische in- en uitschuifbare paal in de rijbaan (poller) waarmee toegankelijkheid van straten en gebieden kan worden geregeld.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J39-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J28","J28","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J28, vee.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J28-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J24","J24","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J24, fietsers en bromfietsers.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J24-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/A0110","A0110","Een rond verkeersbord met een rood achtergrondschild met daarop een A1 snelheidsbord voor 10 km/h","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_A01_010-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/C23","C23","Een rond verkeersbord met een wit achtergrondschild met daarop bord gesloten voor snorfietsen.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_C23-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/E13","E13","Een rechthoekig verkeersbord met een blauw achtergrondschild en daarop bord E13, carpoolplaats.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_E13-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J11","J11","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J11, overweg zonder slagbomen.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J11-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/G03","G03","Een rechthoekig verkeersbord met een blauw achtergrondschild en daarop bord G3, autoweg.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_G03-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J33","J33","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J33, file.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J33-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/A0115","A0115","Een rond verkeersbord met een rood achtergrondschild met daarop een A1 snelheidsbord voor 15 km/h","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_A01_015-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/G08","G08","Een rond verkeersbord met een blauw achtergrondschild en daarop bord G8, einde voetpad.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_G08-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/F10","F10","Een rond verkeersbord met een rood achtergrondschild en daarop bord F10, stop.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_F10-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/F12","F12","Een rond verkeersbord met een blauw achtergrondschild en daarop bord F12, einde verplicht gebruik passeerbaan of passeerstrook, uitsluitend bestemd voor landbouw- en bosbouwtrekkers, motorrijtuigen met beperkte snelheid en mobiele machines.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_F12-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/E08f","E08f","Een vierkant verkeersbord met een blauw achtergrondschild met daarop een bord Parkeren voor fietsen.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_E08J-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/F15","F15","Een rond verkeersbord met een blauw achtergrondschild en daarop bord F15, rijbaan of -strook uitsluitend ten behoeve van trams.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_F15-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/E08k","E08k","Een vierkant verkeersbord met een blauw achtergrondschild met daarop een bord Parkeren voor ambulance.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_E08N-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J32","J32","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J32, verkeerslichten.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J32-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/C21","C21","Een rond verkeersbord met een rood achtergrondschild met daarop een C21 bord gesloten voor voertuigen en samenstellen van voertuigen, waarvan de totaalmassa of de som van de aslasten hoger is dan op het bord is aangegeven.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_C21-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J07","J07","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J7, gevaarlijke daling.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J07-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J37","J37","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J37, gevaar (de aard van het gevaar is aangegeven op het onderbord).","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J37-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/G12","G12","Een rond verkeersbord met een blauw achtergrondschild en daarop bord G12, einde verplicht fietspad.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_G12-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J03","J03","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J3, bocht naar links.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J03-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/D01","D01","Een rond verkeersbord met een blauw achtergrondschild met daarop een D1 bord rotonde.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_D01-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/F17","F17","Een rond verkeersbord met een blauw achtergrondschild en daarop bord F17, rijbaan of -strook uitsluitend ten behoeve van lijnbussen en trams.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_F17-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/C06","C06","Een rond verkeersbord met een rood achtergrondschild met daarop een C6 bord verboden voor auto's.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_C06-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J27","J27","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J27, groot wild.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J27-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/B07","B07","Een zeskantig bord met een rood achtergrondschild met daarop verkeersbord B7 stoppen voorrang verlenen.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_B07-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J04","J04","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J4, S-bocht(en), eerst naar rechts.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J04-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/F14","F14","Een rond verkeersbord met een blauw achtergrondschild en daarop bord F14, einde busbaan of -strook.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_F14-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/D08","D08","Een rond verkeersbord met een blauw achtergrondschild met daarop een gebod om te keren.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_D08-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J16","J16","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J16, werk in uitvoering.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J16-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/F18","F18","Een rond verkeersbord met een blauw achtergrondschild en daarop bord F18, einde bus- en trambaan of -strook.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_F18-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J09","J09","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J9, rotonde.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J09-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/G02","G02","Een rechthoekig verkeersbord met een blauw achtergrondschild en daarop bord G2, einde autosnelweg.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_G02-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/E07","E07","Een vierkant verkeersbord met een blauw achtergrondschild met daarop bord E7 Gelegenheid bestemd voor het onmiddellijk laden en lossen van goederen.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_E07-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/C09","C09","Een rond verkeersbord met een rood achtergrondschild met daarop een C9 bord Gesloten voor vrachtverkeer.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_C09-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/G12a","G12a","Een rond verkeersbord met een blauw achtergrondschild en daarop bord G12a, fiets/bromfietspad.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_G12_A-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J13","J13","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J13, overweg met twee of meer sporen.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J13-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J38","J38","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J38, verkeersdrempel.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J38-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/A0130zb","A0130zb","Een vierkant verkeersbord met een wit achtergrondschild met daarop de tekst Zone en een A1 snelheidsbord voor 30 km/h.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_A01_030_ZB-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/G01","G01","Een rechthoekig verkeersbord met een blauw achtergrondschild en daarop bord G1, autosnelweg.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_G01-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/C11","C11","Een rond verkeersbord met een rood achtergrondschild met daarop een C11 bord gesloten voor motorfietsen.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_C11-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/C13","C13","Een rond verkeersbord met een rood achtergrondschild met daarop een C13 bord Gesloten voor alle motorvoertuigen.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_C13-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/E03","E03","Een rond verkeersbord met een rood achtergrondschild met daarop een E3 bord Verbod fietsen en bromfietsen te plaatsen.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_E03-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/E08r","E08r","Een vierkant verkeersbord met een blauw achtergrondschild met daarop een bord Parkeren voor autodelen.",""
"https://data.crow.nl/imv-standaard-platen/def/C18","C18","Een rond verkeersbord met een rood achtergrondschild met daarop een C18 bord gesloten voor voertuigen die, met inbegrip van de lading, breder zijn dan op het bord is aangegeven.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_C18-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/E08","E08","Een vierkant verkeersbord met een blauw achtergrondschild met daarop bord E8 Parkeergelegenheid alleen bestemd voor de voertuigcategorie of groep voertuigen die op het bord is aangegeven. Hierbij is in de rvv1990 een auto afgebeeld.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_E08-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/F05","F05","Een rond verkeersbord met een rood achtergrondschild en daarop bord F5, verbod voor bestuurders om door te gaan bij nadering van verkeer uit tegengestelde richting.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_F05-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J22","J22","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J22, voetgangersoversteekplaats.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J22-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/A015","A015","Een rond verkeersbord met een rood achtergrondschild met daarop een A1 snelheidsbord voor 5 km/h","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_A01_005-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/E08g","E08g","Een vierkant verkeersbord met een blauw achtergrondschild met daarop een bord Parkeren voor bromfietsen en fietsen.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_E08I-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J02","J02","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J2, bocht naar rechts.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J02-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/C22","C22","Een rond verkeersbord met een rood achtergrondschild met daarop een C22 verkeersbord gesloten voor voertuigen met bepaalde gevaarlijke stoffen.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_C22-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/E12","E12","Een rechthoekig verkeersbord met een blauw achtergrondschild en daarop bord E12, park and ride.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_E12-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J01","J01","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J1, slecht wegdek.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J01-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J17","J17","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J17, rijbaanversmalling.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J17-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/G07","G07","Een rond verkeersbord met een blauw achtergrondschild en daarop bord G7, voetpad.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_G07-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/E08e","E08e","Een vierkant verkeersbord met een blauw achtergrondschild met daarop een bord Parkeren voor bromfietsen.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_E08H-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/C12","C12","Een rond verkeersbord met een rood achtergrondschild met daarop een C12 bord Gesloten voor alle motorvoertuigen.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_C12-SO.svg"
